Date:,12-May-22,Issue,1,,,,,,,,,,,,,,,,,,,,,,,,,
Project,LhARA,Laser-hybrid Accelerator for Radiobiological Applications,,,,,,,,,,,,,,,,,,,,,,,,,,
Work package,WP5,LhARA Demo,,,,,,,,,,,,,,,,,,,,,,,,,,
Manager,WPM,"R. McLauchlan, T. Price & C. Welsch",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Staff FTE by financial year; quarters are noted for calendar year,,,,,,,,,,,,,,,,,,,
Years,Staff,Year 1,Year 2,Year 3,Year 4,Year 5,Total,,Year 1,,,,Year 2,,,,Year 3,,,,Year 4,,,,Year 5,,,
Flag,,Fraction,Fraction,Fraction,Fraction,Fraction,Fraction,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Task,Final design and procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute,BHM Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff,BHM-Phys-Stf-1,0.20,0.20,0.50,0.50,0.50,1.90,,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Staff,BHM-Phys-PDRA,,,1.00,1.00,1.00,3.00,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Staff,BHM-Tech,1.00,1.00,1.00,1.00,1.00,5.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Institute,IC NHS HC Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff,IC-NHS-HC-Trst-Stf-1,0.20,0.20,0.50,0.50,0.50,1.90,,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Staff,IC-NHS-HC-Trst-PhD-1,,,1.00,1.00,1.50,3.50,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.50
Institute,Liverpool Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff,Liv-Phys-PDRA,0.50,0.50,1.00,1.00,1.00,4.00,,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Staff,Liv-Phys-PhD,,,1.00,1.00,1.50,3.50,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.50
EndStaff,Staff totals FTE,1.90,1.90,6.00,6.00,7.00,22.80,,,,,,,,,,,,,,,,,,,,,
NonStaffHd,Non staff,£k,£k,£k,£k,£k,,,,,,,,,,,,,,,,,,,,,,
Task,Final design and procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherNonStaff,User consultation meetings,5.00,5.00,2.50,2.50,2.50,17.50,,,,,,,,,,,,,,,,,,,,,
EquipEnd,Sub-total,5.00,5.00,2.50,2.50,2.50,17.50,,,,,,,,,,,,,,,,,,,,,
RiskMitigationEquip,Cost of risk mitigation (equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalEquip,Eqipment total,5.00,5.00,2.50,2.50,2.50,17.50,,,,,,,,,,,,,,,,,,,,,
Consume,Consumables - (BHM+Liv),7.50,7.50,20.00,20.00,20.00,75.00,,,,,,,,,,,,,,,,,,,,,
Consume,Cyclotron endstation dev,10.00,10.00,,,,,,,,,,,,,,,,,,,,,,,,,
Travel,Travel,4.00,4.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,,,,,,,,,
Access,Cyclotron accesss costs,13.00,16.00,3.00,3.00,3.00,38.00,,,,,,,,,,,,,,,,,,,,,
NonStaffEnd,Total non-staff costs,39.50,42.50,30.50,30.50,30.50,173.50,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-staff costs include VAT but not inflation.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update history,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Oct-21,Tidy for processing,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Oct-21,Adjust BHM staff - KL input,,,,,,,,,,,,,,,,,,,,,,,,,,,
